References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
U1;,1,LM2596 5v,ITO-220,Texas Instruments,Texas Instruments,LM2596T-5.0/NOPB,,,,,,,LM2596T-5.0/NOPB-ND,926LM2596T5.0/NOPB,5333743,,3008166
U3;,1,ESP32-DevKitC-VIB,,,,,,,,,,,1965-ESP32-DEVKITC-VIE-ND,,,,
P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;,14,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN),,,,,,,,,455-2249-ND,,8201551,,1516278
P15;P16,2,CONN HEADER XH TOP 2POS 2.5MM,JST,B2B-XH-A (LF)(SN),,,,,,,,,455-2247-ND,,820-1554,,1516276
L1;,1,INDUCTOR 33µH Neosid MA-Bs75,Bourns,RLB0914-330KL,Bourns,RLB9012-330KL,,,,,,,RLB9012-330KL-ND,652RLB0914330KL,8118853,,2309242
D1;,1,Diode Schottky 5A DO-201AD,Vishay,1N5822-E3/73,Zetex,SB5100-T,,,,,,,1N5822-E3/73GICT-ND,6251N5822E3/73,7514843,,1336553
CON1;,1,2.1mm socket,Cliff,FC68148 DC10A,Lumberg,NEB 21 R,Cliff,FC68148,Gravitech,CON-SOCJ-2155,Parallax,452-00007,SC1313-ND,992CONSOCJ2155,5051609,,1217037
C1;,1,680µF Capacitor,Rubycon,16ZL680MEFC10X16,Panasonic,EEU-FC1A681,Panasonic,EEU-FP1E681,,,,,1189-3978-ND,667EEUFP1E681,1793151,,2911616
C2;,1,CAP ALUM 220UF 20% 25V RADIAL,Panasonic,EEU-FM1E221,Panasonic,ECA-1CM221B,Panasonic,ECE-A0GKS221,Panasonic,EEU-EB1A221S,,,P13456-ND,667ECA1CM221B,7472036,,9451099
