References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
U1;,1,SN74HC595 – PDIP-16,,,,,,,,,,,296-1600-5-ND,595SN74HC595N,2175695,,3120865
Q1; Q2; Q3; Q4; Q5; Q6; Q7; Q8;,8,1A NPN,ON Semiconductor/fairchild,PN2222ATF,,,,,,,,,PN2222ATFCT-ND,512PN2222ATF,8061296,31Y3451,1695606
R1; R2; R3; R4; R5; R6; R7; R8;,8,Resistor 270 ohm 250mW through-hole,Stackpole Electronics,CF14JT270R,Yageo,MFR-25FBF52-220R,TE Connectivity,CFR16J270R,Ohmite,OD271JE,Kamaya,RC1/4271JB,CF14JT270RCT-ND,791RC1/4271JB,148360,95W5736,2329504
C1;,1,100nF Capacitor Disc,Multicomp,MCFYU6104Z6,KEMET,C052C104K5R5CA,KEMET,C052K104K5X5CA,KEMET,C052T104K5X5CS,KEMET,C321C104K5R5HA,BC1160CT-ND,80C321C104K5R5HA,8523277,73M2154,2395773
J1;J2;,2,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN),,,,,,,,,455-2249-ND,,8201551,,1516278
J3; J4; J5; J6; J7; J8; J9; J10; J11;,9,CONN HEADER XH TOP 2POS 2.5MM,JST,B2B-XH-A (LF)(SN),,,,,,,,,455-2247-ND,,8201554P,73M9415,1516276
cables,26,"JUMPER SXH-001T-P0.6 X2 10""""",JST,ASXHSXH22K254,,,,,,,,,455-4223-ND,,,,
connectors 2pin,18,CONN HOUSING 2.5MM 2POS,JST,XHP-2,,,,,,,,,455-2266-ND,,8201611,,1516264
connectors 4pin,4,CONN HOUSING 2.5MM 4POS,JST,XHP-4,,,,,,,,,455-2267-ND,,8201618,,1516266
