References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
J1,1,CONN HEADER XH TOP 4POS 2.5MM,JST,B4B-XH-A (LF)(SN),,,,,,,,,455-2249-ND,,8201551,,1516278
J2,1,Grove male header,M5Stack Technology Co. Ltd.,A118,,,,,,,,,2221-A118-ND,,,,

